Order_Number,Date,Customer_Name,Email,Ship_Date,Shipping_Address_Line1,Shipping_Address_Line2,Shipping_City,Shipping_State,Shipping_Zip,Product_Code,Product_Description,Unit_Price,Quantity,Extended_Price,Service_Fee,Total_Discount,Sub_Total,Shipping,Total_Amount,Source_File,Source_Page
2802.0,3/11/2024,Esme Ainsworth,esme.ainsworth8237@icloud.com,3/12/2024,3725 Chestnut Way,,LYONS,CO,805,CARM-5,Signature Caramels — 5-Pack,149.99,1.0,149.99,7.29,0.0,157.28,12.0,169.28,"Adobe Scan Sep 17, 2025 (1).pdf",1
2803.0,3/11/2024,Esme Ainsworth,esme.ainsworth8237@icloud.com,3/12/2024,3725 Chestnut Way,,LYONS,CO,805,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,3.69,0.0,73.68,12.0,85.68,"Adobe Scan Sep 17, 2025 (1).pdf",2
2784.0,3/11/2024,Felix Nakamura,felix.nakamura1162@yahoo.com,3/12/2024,2837 Hemlock Blvd,,PORT HUENEME,CA,930,CHOC-5,Dark Chocolate Bar — 5-Pack,240.98,2.0,481.96,14.64,-168.69,327.91,12.0,339.91,"Adobe Scan Sep 17, 2025 (1).pdf",3
2785.0,3/11/2024,Willa Sinclair,willa.sinclair4075@outlook.com,3/12/2024,3309 Laurel Dr,,SAVANNAH,GA,314,CARM-3,Signature Caramels — 3-Pack,99.99,1.0,99.99,11.79,0.0,261.76,12.0,273.76,"Adobe Scan Sep 17, 2025 (1).pdf",4
2785.0,3/11/2024,Willa Sinclair,willa.sinclair4075@outlook.com,3/12/2024,3309 Laurel Dr,,SAVANNAH,GA,314,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,11.79,0.0,261.76,12.0,273.76,"Adobe Scan Sep 17, 2025 (1).pdf",4
2785.0,3/11/2024,Willa Sinclair,willa.sinclair4075@outlook.com,3/12/2024,3309 Laurel Dr,,SAVANNAH,GA,314,CHOC-1,Dark Chocolate Bar — 1-Pack,79.99,1.0,79.99,11.79,0.0,261.76,12.0,273.76,"Adobe Scan Sep 17, 2025 (1).pdf",4
2789.0,3/11/2024,Tatum Quintero,tatum.quintero4454@yahoo.com,3/12/2024,3195 Aspen Ln,,TUCSON,AZ,857,GUMM-5,Botanical Gummies — 5-Pack,104.99,1.0,104.99,5.26,0.0,110.25,12.0,122.25,"Adobe Scan Sep 17, 2025 (1).pdf",5
2790.0,3/11/2024,Oakley Quintero,oakley.quintero7633@outlook.com,3/12/2024,6649 Linden Blvd,,PHILADELPHIA,PA,191,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,2.11,0.0,37.1,12.0,49.1,"Adobe Scan Sep 17, 2025 (1).pdf",6
2791.0,3/11/2024,Yael Quintero,yael.quintero7157@yahoo.com,3/12/2024,6755 Linden Rd,,LEICESTER,NC,287,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,3.69,0.0,73.68,12.0,85.68,"Adobe Scan Sep 17, 2025 (1).pdf",7
2794.0,3/11/2024,Vince Quintero,vince.quintero5396@yahoo.com,3/12/2024,9584 Juniper Rd,,SURFSIDE BCH,TX,775,CARM-5,Signature Caramels — 5-Pack,149.99,1.0,149.99,7.29,0.0,157.28,12.0,169.28,"Adobe Scan Sep 17, 2025 (1).pdf",8
2795.0,3/11/2024,Hugo Vasquez,hugo.vasquez7757@gmail.com,3/12/2024,8136 Cypress Dr,,TUCSON,AZ,857,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,3.69,0.0,73.68,12.0,85.68,"Adobe Scan Sep 17, 2025 (1).pdf",9
2769.0,3/11/2024,Julian Emerson,julian.emerson2370@proton.me,3/12/2024,535 Birch St,,JONESBORO,AR,724,GUMM-1,Botanical Gummies — 1-Pack,34.99,1.0,34.99,1.88,-5.25,31.62,12.0,43.62,"Adobe Scan Sep 17, 2025 (1).pdf",10
2771.0,3/11/2024,Nolan Underwood,nolan.underwood6294@yahoo.com,3/12/2024,5534 Sequoia Ln,,CYPRESS,TX,774,GUMM-3,Botanical Gummies — 3-Pack,69.99,1.0,69.99,3.69,0.0,73.68,12.0,85.68,"Adobe Scan Sep 17, 2025 (1).pdf",11
